SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2025-10-28,46,2025-10-28T22:30:00Z,2025-10-29T23:16:52Z,35.140000000000000568,35.140000000000000568,False,N,0.000000000000000000,-104.305799342998952284,0.00,0.00,,,781.466883442422954431,-1075.919745277342371992,0.000000000000000000,190.000000000000000000,781.466883442422954431,-1074.919745277342371992,,190.000000000000000000
2025-10-28,47,2025-10-28T23:00:00Z,2025-10-29T23:44:31Z,35.009999999999998010,35.009999999999998010,False,N,0.000000000000000000,-121.599322579365079378,0.00,0.00,,,786.358839444444470246,-1207.282655912698373868,0.000000000000000000,299.500000000000000000,786.358839444444470246,-1206.282655912698373868,,299.500000000000000000
2025-10-28,48,2025-10-28T23:30:00Z,2025-10-30T00:14:36Z,43.810000000000002274,43.810000000000002274,False,P,0.000000000000000000,9.655628420164021009,0.00,0.00,43.810000000000002274,0.000000000000000000,781.004984320166613543,-1070.896038246502712354,0.000000000000000000,299.500000000000000000,780.004984320166613543,-1070.896038246502712354,,299.500000000000000000
2025-10-29,1,2025-10-29T00:00:00Z,2025-10-30T00:44:29Z,47.590000000000003411,47.590000000000003411,False,P,0.000000000000000000,236.487669305555556321,0.00,0.00,47.590000000000003411,0.000000000000000000,780.649540833333389855,-843.912052916666652891,0.000000000000000000,299.500000000000000000,779.649540833333389855,-843.912052916666652891,,299.500000000000000000
2025-10-29,2,2025-10-29T00:30:00Z,2025-10-30T01:14:35Z,49.679999999999999716,49.679999999999999716,False,P,0.000000000000000000,287.444393383838360023,0.00,0.00,49.679999999999999716,0.000000000000000000,780.583333333333371229,-792.593939949494938446,0.000000000000000000,299.500000000000000000,779.755347101985307745,-792.593939949494938446,,299.327986231348006640
2025-10-29,3,2025-10-29T01:00:00Z,2025-10-30T01:44:29Z,42.609999999999999432,42.609999999999999432,False,P,0.000000000000000000,346.880613355508842233,0.00,0.00,42.609999999999999432,0.000000000000000000,781.062144523809479324,-733.884367535014007444,0.000000000000000000,299.500000000000000000,780.376029500840331821,-733.884367535014007444,,299.186115022969261190
2025-10-29,4,2025-10-29T01:30:00Z,2025-10-30T02:15:04Z,8.699999999999999289,8.699999999999999289,False,N,0.000000000000000000,-167.305127822128838488,0.00,0.00,,,780.926393031045790849,-1247.821794488795603684,0.000000000000000000,299.500000000000000000,780.926393031045790849,-1246.821794488795603684,,299.500000000000000000
2025-10-29,5,2025-10-29T02:00:00Z,2025-10-30T02:44:30Z,0.000000000000000000,0.000000000000000000,False,N,0.000000000000000000,-38.619047619047620401,0.00,0.00,,,780.808333333333280279,-1119.127380952380917734,0.000000000000000000,299.500000000000000000,780.808333333333280279,-1118.127380952380917734,,299.500000000000000000
2025-10-29,6,2025-10-29T02:30:00Z,2025-10-30T03:14:36Z,5.799999999999999822,5.799999999999999822,False,N,0.000000000000000000,-81.001239087301584618,0.00,0.00,,,780.546717777777757874,-1161.297905753968279896,0.000000000000000000,299.500000000000000000,780.546717777777757874,-1160.297905753968279896,,299.500000000000000000
2025-10-29,7,2025-10-29T03:00:00Z,2025-10-30T03:44:31Z,29.620000000000000995,29.620000000000000995,False,P,0.000000000000000000,192.382634642857141216,0.00,0.00,29.620000000000000995,0.000000000000000000,780.528020833333357587,-888.301809801587296533,0.000000000000000000,299.500000000000000000,779.528020833333357587,-888.301809801587296533,,299.500000000000000000
