settlementDate,ssp,sbp,price,NIV,NIV_lag1,NIV_roll7
2025-02-01,111.9094980304784,111.9094980304784,111.9094980304784,3564.1924521971373,,
2025-02-02,96.16076043813763,96.16076043813763,96.16076043813763,-4958.656687716624,3564.1924521971373,
2025-02-03,102.2679794228034,102.2679794228034,102.2679794228034,-13457.367423644622,-4958.656687716624,-4950.610553054703
2025-02-04,119.11708383964604,119.11708383964604,119.11708383964604,8252.535702494057,-13457.367423644622,-1649.823989167513
2025-02-05,126.26251501474802,126.26251501474802,126.26251501474802,7094.496854148232,8252.535702494057,99.04017949563604
2025-02-06,120.03212267953603,120.03212267953603,120.03212267953603,-202.98905637473263,7094.496854148232,48.701973517241264
2025-02-07,125.42729340561566,125.42729340561566,125.42729340561566,4615.012631413318,-202.98905637473263,701.0320675023951
2025-02-08,135.59788554280078,135.59788554280078,135.59788554280078,9354.214775452783,4615.012631413318,1528.178113681773
2025-02-09,115.5264908486963,115.5264908486963,115.5264908486963,210.21333494036168,9354.214775452783,2266.5881169184854
2025-02-10,116.61729591836735,116.61729591836735,116.61729591836735,1482.6449140874454,210.21333494036168,4400.875593737352
2025-02-11,135.18127921584207,135.18127921584207,135.18127921584207,6688.328094997794,1482.6449140874454,4177.417364095029
2025-02-12,131.29718255154702,131.29718255154702,131.29718255154702,4787.0192022720685,6688.328094997794,3847.777699541291
2025-02-13,130.23707759852854,130.23707759852854,130.23707759852854,-1645.1687747396302,4787.0192022720685,3641.752025489163
2025-02-14,95.06756242692752,95.06756242692752,95.06756242692752,-14569.104858465755,-1645.1687747396302,901.1638126492952
2025-02-15,114.07626028719727,114.07626028719727,114.07626028719727,-4880.430502712958,-14569.104858465755,-1132.356941374382
2025-02-16,87.47092957038541,87.47092957038541,87.47092957038541,-7636.877100964342,-4880.430502712958,-2253.3698607893393
2025-02-17,104.53770833333333,104.53770833333333,104.53770833333333,-8339.233389588004,-7636.877100964342,-3656.4953327429753
2025-02-18,97.84349963314732,97.84349963314732,97.84349963314732,-322.806561507567,-8339.233389588004,-4658.085997958026
2025-02-19,99.90541993086775,99.90541993086775,99.90541993086775,7107.598519439735,-322.806561507567,-4326.574666934074
2025-02-20,74.66532719081165,74.66532719081165,74.66532719081165,-5574.926928583159,7107.598519439735,-4887.968688911721
2025-02-21,49.475764571962344,49.475764571962344,49.475764571962344,-13691.232134548802,-5574.926928583159,-4762.558299780728
2025-02-22,50.83693677759601,50.83693677759601,50.83693677759601,-19820.847211552962,-13691.232134548802,-6896.9035439007275
2025-02-23,42.70233147402416,42.70233147402416,42.70233147402416,-11388.744510844635,-19820.847211552962,-7432.884602455057
2025-02-24,53.022271838087086,53.022271838087086,53.022271838087086,-12120.950808856262,-11388.744510844635,-7973.129948064807
2025-02-25,88.4102539684696,88.4102539684696,88.4102539684696,-6229.325855277005,-12120.950808856262,-8816.918418603298
2025-02-26,106.04416977070106,106.04416977070106,106.04416977070106,79.59980479486727,-6229.325855277005,-9820.918234981136
2025-02-27,90.6412269645012,90.6412269645012,90.6412269645012,-8162.914226714486,79.59980479486727,-10190.630706142754
2025-02-28,100.14140537545819,100.14140537545819,100.14140537545819,-964.7918248512585,-8162.914226714486,-8372.567804757391
2025-03-01,91.63810269555167,91.63810269555167,91.63810269555167,-3497.473020119582,-964.7918248512585,-6040.657205981194
2025-03-02,106.29795719119427,106.29795719119427,106.29795719119427,6617.222048121303,-3497.473020119582,-3468.37626898606
2025-03-03,90.47766480982739,90.47766480982739,90.47766480982739,-4231.025689751647,6617.222048121303,-2341.244109113972
2025-03-04,78.27538561220007,78.27538561220007,78.27538561220007,-4163.379075131952,-4231.025689751647,-2046.108854807536
2025-03-05,67.6645009664892,67.6645009664892,67.6645009664892,-7518.03574213625,-4163.379075131952,-3131.4853615119814
2025-03-06,93.57633724486196,93.57633724486196,93.57633724486196,11589.642813351278,-7518.03574213625,-309.6914986454436
2025-03-07,91.71836219960443,91.71836219960443,91.71836219960443,-4529.967871338968,11589.642813351278,-819.002362429402
2025-03-08,87.04948951359899,87.04948951359899,87.04948951359899,-1979.8223879151385,-4529.967871338968,-602.1951292573386
2025-03-09,89.42492289774809,89.42492289774809,89.42492289774809,-210.15702168045507,-1979.8223879151385,-1577.5349963718756
2025-03-10,75.76644587278763,75.76644587278763,75.76644587278763,-7314.520425716933,-210.15702168045507,-2018.0342443669163
2025-03-11,85.0006362185532,85.0006362185532,85.0006362185532,-9626.921370964463,-7314.520425716933,-2798.540286628703
2025-03-12,88.1953171431846,88.1953171431846,88.1953171431846,-6223.72285509108,-9626.921370964463,-2613.6384456222504
2025-03-13,94.81267190417013,94.81267190417013,94.81267190417013,-3935.0433274197185,-6223.72285509108,-4831.450751446678
2025-03-14,103.84908325614235,103.84908325614235,103.84908325614235,891.5966784814075,-3935.0433274197185,-4056.941530043768
2025-03-15,87.6887529953044,87.6887529953044,87.6887529953044,-8184.396974812452,891.5966784814075,-4943.309328171956
2025-03-16,98.16352044764507,98.16352044764507,98.16352044764507,-1153.4691059935292,-8184.396974812452,-5078.068197359537
2025-03-17,106.3440996374873,106.3440996374873,106.3440996374873,1487.9312923334387,-1153.4691059935292,-3820.5750947809133
2025-03-18,90.31881627273528,90.31881627273528,90.31881627273528,-8478.064984345512,1487.9312923334387,-3656.452753835348
2025-03-19,124.85750074219101,124.85750074219101,124.85750074219101,8288.123721789141,-8478.064984345512,-1583.3318142810313
2025-03-20,112.18907923775373,112.18907923775373,112.18907923775373,1384.064138586392,8288.123721789141,-823.4593191373012
2025-03-21,103.13365449641866,103.13365449641866,103.13365449641866,13459.705521031212,1384.064138586392,971.9848012269566
2025-03-22,96.07420411933403,96.07420411933403,96.07420411933403,4799.703207885869,13459.705521031212,2826.8562558981453
2025-03-23,109.68611654325296,109.68611654325296,109.68611654325296,6331.627182129764,4799.703207885869,3896.155725630044
2025-03-24,93.63323486030306,93.63323486030306,93.63323486030306,-5257.1427982243895,6331.627182129764,2932.5737126932117
2025-03-25,83.23283346793882,83.23283346793882,83.23283346793882,-6076.5714645623375,-5257.1427982243895,3275.64421551938
2025-03-26,88.72236424440938,88.72236424440938,88.72236424440938,-2731.608893709563,-6076.5714645623375,1701.3966990195647
2025-03-27,79.75344145898298,79.75344145898298,79.75344145898298,-2010.8798648985012,-2731.608893709563,1216.4046985217228
2025-03-28,46.402881889411,46.402881889411,46.402881889411,-20036.368177966935,-2010.8798648985012,-3568.7486870494404
2025-03-29,53.55007103902053,53.55007103902053,53.55007103902053,-12180.271897530874,-20036.368177966935,-5994.4594163946895
2025-03-30,9.77995332797167,9.77995332797167,9.77995332797167,-34539.29528952611,-12180.271897530874,-11833.162626631241
2025-03-31,90.61927431827449,90.61927431827449,90.61927431827449,-1165.912822204108,-34539.29528952611,-11248.701201485488
2025-04-01,53.1659669577397,53.1659669577397,53.1659669577397,-11366.496748115684,-1165.912822204108,-12004.404813421681
2025-04-02,55.8485396039604,55.8485396039604,55.8485396039604,-5181.117021768439,-11366.496748115684,-12354.33454600152
2025-04-03,107.70457658854167,107.70457658854167,107.70457658854167,13192.745842849767,-5181.117021768439,-10182.388016323197
2025-04-04,72.47446419291087,72.47446419291087,72.47446419291087,-1865.201956749127,13192.745842849767,-7586.5071275777955
2025-04-05,27.045156892892177,27.045156892892177,27.045156892892177,-9749.969828214498,-1865.201956749127,-7239.321117675456
2025-04-06,29.29583706525298,29.29583706525298,29.29583706525298,-6687.473848176771,-9749.969828214498,-3260.489483196979
2025-04-07,88.15704070104083,88.15704070104083,88.15704070104083,-3606.7624259796276,-6687.473848176771,-3609.1822837363393
2025-04-08,89.3757561813381,89.3757561813381,89.3757561813381,475.63072988990103,-3606.7624259796276,-1917.4497868783983
2025-04-09,89.24411180288398,89.24411180288398,89.24411180288398,-1250.7183804955625,475.63072988990103,-1355.964266696559
2025-04-10,70.6786680128367,70.6786680128367,70.6786680128367,-9942.981667925957,-1250.7183804955625,-4661.068196807376
2025-04-11,74.0496317812169,74.0496317812169,74.0496317812169,-4447.385803756115,-9942.981667925957,-5029.951603522661
2025-04-12,64.90250484496124,64.90250484496124,64.90250484496124,-1049.0097229172115,-4447.385803756115,-3786.9573027659053
2025-04-13,55.45655580593666,55.45655580593666,55.45655580593666,-4579.9349080924985,-1049.0097229172115,-3485.880311325295
2025-04-14,76.8046876536469,76.8046876536469,76.8046876536469,-623.2609101631157,-4579.9349080924985,-3059.6658090657934
2025-04-15,88.00486613538622,88.00486613538622,88.00486613538622,100.62584025506266,-623.2609101631157,-3113.2379361564845
2025-04-16,70.99839335675567,70.99839335675567,70.99839335675567,1450.8705720339474,100.62584025506266,-2727.296657223698
2025-04-17,84.54540946318942,84.54540946318942,84.54540946318942,-1153.5732392685948,1450.8705720339474,-1471.6668817012173
2025-04-18,90.83499492968662,90.83499492968662,90.83499492968662,7379.2415757366425,-1153.5732392685948,217.85131536917677
2025-04-19,64.53733792904207,64.53733792904207,64.53733792904207,3274.7085128501735,7379.2415757366425,835.5253490502317
2025-04-20,94.67373544665203,94.67373544665203,94.67373544665203,7137.886942835721,3274.7085128501735,2509.4998991828347
2025-04-21,91.88417257864585,91.88417257864585,91.88417257864585,2342.0837183118065,7137.886942835721,2933.1205603935377
2025-04-22,76.39765986946553,76.39765986946553,76.39765986946553,-1954.5092131202282,2342.0837183118065,2639.5298384827815
2025-04-23,80.27010214959601,80.27010214959601,80.27010214959601,-1698.4753356954006,-1954.5092131202282,2189.623280235732
2025-04-24,73.57740213237939,73.57740213237939,73.57740213237939,-5524.19573975963,-1698.4753356954006,1565.2486373084414
2025-04-25,86.02979166666667,86.02979166666667,86.02979166666667,730.8843667335427,-5524.19573975963,615.4833217365701
2025-04-26,82.64770833333334,82.64770833333334,82.64770833333334,1120.6128734453805,730.8843667335427,307.75537325017103
2025-04-27,38.64687066140177,38.64687066140177,38.64687066140177,-11070.474614324887,1120.6128734453805,-2293.43913491563
2025-04-28,90.63143039758019,90.63143039758019,90.63143039758019,4330.243305640501,-11070.474614324887,-2009.4163367258166
2025-04-29,94.44172028352648,94.44172028352648,94.44172028352648,4870.990823535857,4330.243305640501,-1034.3449029178043
